trialnum	subject	session	basicShape	numObjects	speed	initialDirRing0	fixatnPeriodFrames	orderCorrect	trialDurTotal	numTargets	whichIsTargetEachRing0	whichIsTargetEachRing1	whichIsTargetEachRing2	ringToQuery	direction0	direction1	direction2	respAdj0	respAdj1	respAdj2	rev0_0	rev0_1	rev0_2	rev0_3	rev0_4	rev0_5	rev0_6	rev0_7	rev0_8	rev1_0	rev1_1	rev1_2	rev1_3	rev1_4	rev1_5	rev1_6	rev1_7	rev1_8	rev2_0	rev2_1	rev2_2	rev2_3	rev2_4	rev2_5	rev2_6	rev2_7	rev2_8	timingBlips	numLongFramesAfterFixation	numLongFramesAfterCue
0	a99	c	circle	8	0.44355468749999716	1	106	3 	 4.700032714247058 	 2 	 -999.0	5.0	3.0	1	1	-1	-1	-999	0.0	-999	3.1932 	4.6589 	6.3568 	-999	-999	-999	-999	-999	-999	2.048 	3.8235 	4.4024 	5.5498 	-999	-999	-999	-999	-999	1.7484 	2.9866 	4.7016 	6.6531 	-999	-999	-999	-999	-999	1	0	0
1	a99	c	circle	8	0.7435546874999943	1	88	3 	 4.541147304688522 	 2 	 5.0	-999.0	7.0	2	1	-1	-1	-999	-999	0.0	2.7779 	4.1819 	5.553 	-999	-999	-999	-999	-999	-999	2.3133 	3.8936 	5.7416 	-999	-999	-999	-999	-999	-999	1.8455 	3.3695 	4.5351 	5.8498 	-999	-999	-999	-999	-999	1	0	0
2	a99	c	circle	4	0.44355468749999716	-1	125	3 	 5.1491628786739625 	 3 	 3.0	3.0	0.0	0	-1	1	-1	0.0	-999	-999	2.6033 	3.7718 	5.09 	6.1173 	-999	-999	-999	-999	-999	2.2075 	3.1791 	4.4468 	6.3742 	-999	-999	-999	-999	-999	2.1892 	4.0545 	4.9543 	6.6119 	-999	-999	-999	-999	-999	2	0	0
3	a99	c	circle	4	0.44355468749999716	1	98	3 	 5.29921530575225 	 2 	 3.0	-999.0	1.0	0	1	-1	-1	-0.0	-999	-999	3.0637 	3.7188 	4.3574 	5.5726 	7.5579 	-999	-999	-999	-999	2.0165 	3.0736 	4.6247 	5.7691 	-999	-999	-999	-999	-999	3.024 	4.4798 	5.5037 	6.9937 	-999	-999	-999	-999	-999	1	0	0
4	a99	c	circle	4	0.1	1	82	3 	 4.832529395777544 	 2 	 3.0	1.0	-999.0	1	1	-1	-1	-999	0.0	-999	1.8597 	3.1561 	4.2549 	4.7862 	5.9891 	-999	-999	-999	-999	2.4718 	4.3863 	5.0336 	6.4573 	-999	-999	-999	-999	-999	2.2498 	3.5998 	4.8485 	6.5008 	-999	-999	-999	-999	-999	1	0	0
5	a99	c	circle	8	1.0435546874999915	-1	105	0 	 4.956463010873727 	 2 	 5.0	5.0	2.0	2	-1	1	-1	-999	-999	4.0	2.4751 	2.983 	4.8608 	5.5467 	-999	-999	-999	-999	-999	2.6722 	3.9948 	5.4144 	-999	-999	-999	-999	-999	-999	2.1067 	3.2037 	4.3487 	5.7937 	-999	-999	-999	-999	-999	2	0	0
6	a99	c	circle	8	0.44355468749999716	1	100	0 	 3.3722769048245436 	 3 	 4.0	1.0	3.0	1	1	-1	-1	-999	-1.0	-999	2.2161 	3.7902 	-999	-999	-999	-999	-999	-999	-999	2.5778 	4.1182 	-999	-999	-999	-999	-999	-999	-999	2.746 	4.583 	-999	-999	-999	-999	-999	-999	-999	1	0	0
7	a99	c	circle	4	0.7435546874999943	-1	92	3 	 3.8327924273576053 	 2 	 0.0	2.0	1.0	1	-1	1	-1	-999	0.0	-999	2.3191 	3.7926 	4.6147 	-999	-999	-999	-999	-999	-999	2.3904 	3.869 	4.621 	-999	-999	-999	-999	-999	-999	2.1643 	2.7475 	3.6774 	4.4873 	-999	-999	-999	-999	-999	2	0	0
8	a99	c	circle	8	0.7435546874999943	-1	104	3 	 5.064301455478496 	 2 	 7.0	-999.0	7.0	0	-1	1	-1	-0.0	-999	-999	2.9292 	4.0302 	5.4236 	-999	-999	-999	-999	-999	-999	2.7323 	3.9888 	5.9802 	-999	-999	-999	-999	-999	-999	2.9709 	3.9638 	4.6356 	6.0823 	-999	-999	-999	-999	-999	1	0	0
9	a99	c	circle	4	1.0435546874999915	1	80	3 	 3.4275705072300067 	 2 	 2.0	2.0	-999.0	1	1	-1	-1	-999	-0.0	-999	2.8523 	3.5544 	5.3984 	-999	-999	-999	-999	-999	-999	2.4057 	3.3217 	5.067 	-999	-999	-999	-999	-999	-999	3.0481 	4.9981 	-999	-999	-999	-999	-999	-999	-999	1	0	0
10	a99	c	circle	8	0.7435546874999943	-1	96	0 	 5.349261087495464 	 2 	 0.0	5.0	5.0	2	-1	1	-1	-999	-999	1.0	2.7822 	4.5471 	5.467 	5.9764 	-999	-999	-999	-999	-999	2.8101 	3.3478 	3.8864 	4.7949 	6.2064 	-999	-999	-999	-999	2.4905 	3.8932 	5.5222 	6.6855 	-999	-999	-999	-999	-999	2	0	0
11	a99	c	circle	8	0.1435546875	-1	102	3 	 3.676479729991138 	 3 	 2.0	1.0	4.0	1	-1	1	-1	-999	0.0	-999	2.7989 	3.8917 	4.9565 	-999	-999	-999	-999	-999	-999	1.9569 	3.3492 	4.5093 	-999	-999	-999	-999	-999	-999	2.8771 	4.4733 	-999	-999	-999	-999	-999	-999	-999	3	0	0
12	a99	c	circle	4	1.3435546874999886	-1	98	3 	 4.368081609038679 	 2 	 0.0	-999.0	0.0	2	-1	1	-1	-999	-999	-0.0	2.4295 	4.1246 	5.5841 	-999	-999	-999	-999	-999	-999	1.7131 	3.6664 	5.385 	-999	-999	-999	-999	-999	-999	3.1397 	4.5695 	5.295 	-999	-999	-999	-999	-999	-999	1	0	0
13	a99	c	circle	4	1.6435546874999858	1	113	0 	 4.067079739851753 	 2 	 2.0	2.0	-999.0	1	1	-1	-1	-999	-1.0	-999	2.8906 	4.6569 	-999	-999	-999	-999	-999	-999	-999	2.3507 	3.2998 	4.8347 	-999	-999	-999	-999	-999	-999	2.8914 	3.8827 	5.3876 	-999	-999	-999	-999	-999	-999	1	0	0
14	a99	c	circle	4	0.7435546874999943	1	88	3 	 4.218803897001856 	 3 	 1.0	0.0	1.0	0	1	-1	-1	0.0	-999	-999	2.4716 	4.1702 	5.8673 	-999	-999	-999	-999	-999	-999	2.7394 	3.6527 	4.5211 	-999	-999	-999	-999	-999	-999	3.1586 	4.7117 	-999	-999	-999	-999	-999	-999	-999	4	0	0
15	a99	c	circle	4	0.1	-1	95	3 	 5.270610743257734 	 3 	 1.0	3.0	3.0	2	-1	1	-1	-999	-999	-0.0	2.6836 	3.8065 	4.7052 	6.3037 	-999	-999	-999	-999	-999	2.2152 	2.9321 	3.529 	5.159 	5.8421 	-999	-999	-999	-999	2.515 	4.1396 	5.8505 	-999	-999	-999	-999	-999	-999	3	0	0
16	a99	c	circle	8	0.1	1	119	3 	 4.691774377722659 	 2 	 5.0	4.0	-999.0	0	1	-1	-1	0.0	-999	-999	2.304 	4.253 	5.0221 	-999	-999	-999	-999	-999	-999	2.9032 	3.5701 	5.1341 	-999	-999	-999	-999	-999	-999	2.4512 	3.5989 	5.0077 	-999	-999	-999	-999	-999	-999	1	0	0
17	a99	c	circle	8	0.44355468749999716	-1	92	0 	 3.5686671584312615 	 3 	 6.0	6.0	6.0	2	-1	1	-1	-999	-999	-3.0	1.9616 	3.3094 	4.1752 	-999	-999	-999	-999	-999	-999	2.5028 	3.7034 	4.7508 	-999	-999	-999	-999	-999	-999	2.8657 	3.4361 	4.3002 	-999	-999	-999	-999	-999	-999	4	0	0
18	a99	c	circle	4	0.02	1	87	3 	 3.485791093338597 	 3 	 2.0	2.0	0.0	2	1	-1	-1	-999	-999	0.0	2.2524 	3.0668 	4.4136 	-999	-999	-999	-999	-999	-999	2.1493 	3.9887 	-999	-999	-999	-999	-999	-999	-999	2.6037 	4.121 	-999	-999	-999	-999	-999	-999	-999	4	0	0
19	a99	c	circle	4	1.0435546874999915	1	81	0 	 3.5897575661152166 	 3 	 3.0	2.0	3.0	1	1	-1	-1	-999	1.0	-999	2.8407 	4.6522 	-999	-999	-999	-999	-999	-999	-999	3.1904 	4.0417 	-999	-999	-999	-999	-999	-999	-999	2.0872 	3.1907 	4.5009 	-999	-999	-999	-999	-999	-999	2	0	0
20	a99	c	circle	8	0.44355468749999716	1	109	3 	 5.197925687155417 	 2 	 7.0	3.0	-999.0	1	1	-1	-1	-999	0.0	-999	2.1849 	2.8871 	4.5991 	5.907 	-999	-999	-999	-999	-999	2.2605 	3.3046 	4.8934 	5.9607 	-999	-999	-999	-999	-999	2.6662 	3.4534 	5.2039 	6.8036 	-999	-999	-999	-999	-999	1	0	0
21	a99	c	circle	4	0.7435546874999943	-1	129	3 	 3.2124368057238555 	 3 	 2.0	1.0	0.0	1	-1	1	-1	-999	-0.0	-999	2.3522 	3.8064 	-999	-999	-999	-999	-999	-999	-999	2.4945 	4.2184 	-999	-999	-999	-999	-999	-999	-999	2.4965 	3.9285 	-999	-999	-999	-999	-999	-999	-999	4	0	0
22	a99	c	circle	4	0.1	-1	120	3 	 4.89786987404181 	 2 	 3.0	0.0	-999.0	0	-1	1	-1	-0.0	-999	-999	2.514 	4.1397 	5.7174 	-999	-999	-999	-999	-999	-999	2.6318 	3.7529 	4.4477 	6.2535 	-999	-999	-999	-999	-999	2.9978 	4.6395 	5.6972 	-999	-999	-999	-999	-999	-999	1	0	0
23	a99	c	circle	8	0.24355468749999432	-1	109	3 	 5.56723350493062 	 3 	 1.0	7.0	3.0	0	-1	1	-1	-0.0	-999	-999	2.8091 	4.3721 	5.9169 	-999	-999	-999	-999	-999	-999	2.007 	2.9586 	4.5077 	5.3318 	6.6528 	-999	-999	-999	-999	2.945 	4.6626 	5.524 	7.428 	-999	-999	-999	-999	-999	3	0	0
24	a99	c	circle	4	0.7435546874999943	-1	95	3 	 5.624854912730927 	 3 	 2.0	0.0	1.0	1	-1	1	-1	-999	-0.0	-999	1.7769 	3.629 	4.2782 	6.1899 	-999	-999	-999	-999	-999	2.6329 	4.616 	5.5293 	7.1193 	-999	-999	-999	-999	-999	2.5446 	3.8617 	5.0742 	5.9777 	-999	-999	-999	-999	-999	3	0	0
25	a99	c	circle	8	0.24355468749999432	-1	128	3 	 4.537194957831802 	 3 	 7.0	4.0	7.0	2	-1	1	-1	-999	-999	-0.0	2.4153 	3.9655 	4.9301 	-999	-999	-999	-999	-999	-999	1.7952 	2.8154 	3.3595 	4.363 	5.3472 	-999	-999	-999	-999	1.9275 	2.8687 	4.7937 	6.3587 	-999	-999	-999	-999	-999	5	0	0
