trialnum	subject	session	basicShape	numObjects	speed	initialDirRing0	fixatnPeriodFrames	orderCorrect	trialDurTotal	numTargets	whichIsTargetEachRing0	whichIsTargetEachRing1	whichIsTargetEachRing2	ringToQuery	direction0	direction1	direction2	respAdj0	respAdj1	respAdj2	rev0_0	rev0_1	rev0_2	rev0_3	rev0_4	rev0_5	rev0_6	rev0_7	rev0_8	rev1_0	rev1_1	rev1_2	rev1_3	rev1_4	rev1_5	rev1_6	rev1_7	rev1_8	rev2_0	rev2_1	rev2_2	rev2_3	rev2_4	rev2_5	rev2_6	rev2_7	rev2_8	timingBlips	numLongFramesAfterFixation	numLongFramesAfterCue
0	a99	a	circle	4	0.35484375000000057	1	106	0 	 5.403730801223674 	 3 	 3.0	0.0	0.0	0	1	-1	-1	-2.0	-999	-999	2.0032 	2.9357 	4.4901 	5.0697 	5.7683 	-999	-999	-999	-999	2.4984 	3.383 	3.9371 	5.705 	-999	-999	-999	-999	-999	1.9442 	3.8702 	4.5429 	5.1517 	6.8695 	-999	-999	-999	-999	6	0	0
1	a99	a	circle	8	0.35484375000000057	1	108	3 	 4.1850279825132555 	 2 	 -999.0	2.0	3.0	2	1	-1	-1	-999	-999	-0.0	2.6039 	3.9171 	4.4276 	5.4008 	-999	-999	-999	-999	-999	3.1741 	3.7716 	5.0651 	-999	-999	-999	-999	-999	-999	2.9765 	4.1012 	4.6852 	-999	-999	-999	-999	-999	-999	1	0	0
2	a99	a	circle	8	0.35484375000000057	1	86	0 	 4.104058544678778 	 3 	 1.0	5.0	0.0	2	1	-1	-1	-999	-999	2.0	3.1093 	4.633 	-999	-999	-999	-999	-999	-999	-999	2.253 	2.8628 	3.3774 	4.6118 	-999	-999	-999	-999	-999	2.8201 	4.5141 	-999	-999	-999	-999	-999	-999	-999	4	0	0
3	a99	a	circle	8	0.6548437499999977	1	102	0 	 5.383715335584085 	 2 	 -999.0	1.0	4.0	1	1	-1	-1	-999	2.0	-999	1.7195 	3.0647 	3.7018 	5.2243 	6.0946 	-999	-999	-999	-999	1.9319 	2.9616 	3.9031 	4.6868 	5.8677 	-999	-999	-999	-999	3.1351 	4.6076 	6.135 	-999	-999	-999	-999	-999	-999	1	0	0
4	a99	a	circle	4	0.02	1	85	3 	 4.029022584464753 	 3 	 2.0	0.0	3.0	0	1	-1	-1	0.0	-999	-999	2.4847 	4.2159 	4.9621 	-999	-999	-999	-999	-999	-999	1.7553 	2.8004 	4.2639 	5.994 	-999	-999	-999	-999	-999	3.1648 	4.8105 	-999	-999	-999	-999	-999	-999	-999	4	0	0
5	a99	a	circle	4	0.35484375000000057	-1	117	3 	 4.145804727795086 	 2 	 0.0	3.0	-999.0	1	-1	1	-1	-999	-0.0	-999	2.8048 	4.2356 	4.8004 	-999	-999	-999	-999	-999	-999	2.6482 	3.1882 	4.0538 	5.1989 	-999	-999	-999	-999	-999	2.0703 	2.785 	4.738 	-999	-999	-999	-999	-999	-999	1	0	0
6	a99	a	circle	8	0.02	-1	121	3 	 5.3898973804116395 	 2 	 -999.0	0.0	3.0	2	-1	1	-1	-999	-999	-0.0	2.8589 	3.8676 	4.5243 	5.5405 	7.0508 	-999	-999	-999	-999	1.789 	2.7673 	4.5491 	5.4469 	7.0091 	-999	-999	-999	-999	2.9875 	4.2713 	5.8287 	-999	-999	-999	-999	-999	-999	1	0	0
7	a99	a	circle	8	0.1	1	96	3 	 3.9692491376993586 	 2 	 0.0	0.0	5.0	0	1	-1	-1	-0.0	-999	-999	3.1823 	4.7971 	-999	-999	-999	-999	-999	-999	-999	2.1984 	3.4184 	4.0016 	5.2511 	-999	-999	-999	-999	-999	2.3542 	3.4796 	5.4225 	-999	-999	-999	-999	-999	-999	2	0	0
8	a99	a	circle	8	0.35484375000000057	-1	107	0 	 5.140211277479103 	 2 	 3.0	6.0	-999.0	0	-1	1	-1	1.0	-999	-999	2.3131 	3.4834 	4.4219 	5.3916 	7.3887 	-999	-999	-999	-999	2.0447 	3.9119 	4.9429 	6.2159 	-999	-999	-999	-999	-999	2.37 	4.3564 	6.1759 	-999	-999	-999	-999	-999	-999	2	0	0
9	a99	a	circle	4	0.05484375000000341	-1	104	3 	 4.1150379876643 	 3 	 0.0	3.0	0.0	1	-1	1	-1	-999	-0.0	-999	3.131 	3.7842 	5.4003 	-999	-999	-999	-999	-999	-999	3.1162 	4.5481 	-999	-999	-999	-999	-999	-999	-999	2.0606 	3.2121 	4.0105 	5.2319 	-999	-999	-999	-999	-999	4	0	0
