trialnum	subject	session	basicShape	numObjects	speed	initialDirRing0	fixatnPeriodFrames	orderCorrect	trialDurTotal	numTargets	whichIsTargetEachRing0	whichIsTargetEachRing1	whichIsTargetEachRing2	ringToQuery	direction0	direction1	direction2	respAdj0	respAdj1	respAdj2	rev0_0	rev0_1	rev0_2	rev0_3	rev0_4	rev0_5	rev0_6	rev0_7	rev0_8	rev1_0	rev1_1	rev1_2	rev1_3	rev1_4	rev1_5	rev1_6	rev1_7	rev1_8	rev2_0	rev2_1	rev2_2	rev2_3	rev2_4	rev2_5	rev2_6	rev2_7	rev2_8	timingBlips	numLongFramesAfterFixation	numLongFramesAfterCue
45	a99	b	circle	4	0.5914062500000199	-1	96	0 	 4.968215964647728 	 3 	 3.0	0.0	0.0	2	-1	1	-1	-999	-999	-1.0	2.9255 	4.0887 	4.6314 	5.3489 	-999	-999	-999	-999	-999	2.8266 	3.9617 	5.2039 	6.2444 	-999	-999	-999	-999	-999	2.0903 	2.6845 	3.6148 	4.214 	5.5693 	-999	-999	-999	-999	3	0	0
46	a99	b	circle	8	0.1	1	106	3 	 4.446865854881432 	 3 	 2.0	0.0	0.0	2	1	-1	-1	-999	-999	-0.0	1.7308 	2.3203 	3.8344 	5.1063 	-999	-999	-999	-999	-999	2.115 	2.6785 	3.9383 	4.4453 	4.984 	-999	-999	-999	-999	2.4264 	4.1726 	4.7575 	-999	-999	-999	-999	-999	-999	1	0	0
47	a99	b	circle	8	0.39140625000000284	-1	118	3 	 4.21732550160838 	 2 	 3.0	7.0	6.0	0	-1	1	-1	0.0	-999	-999	2.0056 	2.5244 	3.6468 	5.1485 	-999	-999	-999	-999	-999	2.6896 	3.9012 	4.5205 	-999	-999	-999	-999	-999	-999	1.8628 	3.601 	4.2096 	5.1019 	-999	-999	-999	-999	-999	1	0	0
48	a99	b	circle	8	0.2914062499999943	1	94	3 	 5.345614411079917 	 3 	 2.0	1.0	5.0	2	1	-1	-1	-999	-999	0.0	2.422 	3.089 	5.0337 	5.5983 	7.1591 	-999	-999	-999	-999	2.5868 	3.9787 	5.0475 	5.6543 	-999	-999	-999	-999	-999	1.9299 	3.559 	5.2556 	6.039 	-999	-999	-999	-999	-999	1	0	0
49	a99	b	circle	8	0.2914062499999943	1	87	3 	 3.52612076965952 	 3 	 0.0	7.0	4.0	0	1	-1	-1	0.0	-999	-999	1.7779 	3.5419 	4.7864 	-999	-999	-999	-999	-999	-999	2.0263 	3.2664 	4.1797 	-999	-999	-999	-999	-999	-999	2.5799 	3.0978 	4.1693 	-999	-999	-999	-999	-999	-999	1	0	0
50	a99	b	circle	8	0.39140624999998863	-1	109	3 	 5.196045446218852 	 3 	 0.0	2.0	7.0	1	-1	1	-1	-999	-0.0	-999	2.1683 	3.7795 	4.8924 	6.3921 	-999	-999	-999	-999	-999	1.7016 	3.0483 	3.9087 	5.6878 	-999	-999	-999	-999	-999	2.261 	3.4027 	4.2181 	5.6845 	-999	-999	-999	-999	-999	1	0	0
51	a99	b	circle	8	0.39140625000000284	1	83	0 	 4.420325422154434 	 2 	 6.0	3.0	1.0	0	1	-1	-1	1.0	-999	-999	2.9861 	3.7189 	5.0935 	-999	-999	-999	-999	-999	-999	2.999 	4.5625 	5.4492 	-999	-999	-999	-999	-999	-999	2.689 	3.2286 	3.9581 	4.479 	5.5644 	-999	-999	-999	-999	1	0	0
52	a99	b	circle	4	0.02	1	101	3 	 3.665077347606985 	 3 	 1.0	2.0	2.0	1	1	-1	-1	-999	-0.0	-999	2.8133 	3.9569 	4.4947 	-999	-999	-999	-999	-999	-999	1.818 	3.7655 	4.8566 	-999	-999	-999	-999	-999	-999	2.7985 	3.5434 	5.2974 	-999	-999	-999	-999	-999	-999	1	0	0
53	a99	b	circle	4	0.4914062500000256	1	90	3 	 3.9754569232401313 	 3 	 3.0	0.0	3.0	2	1	-1	-1	-999	-999	-0.0	2.5284 	3.4762 	4.7226 	-999	-999	-999	-999	-999	-999	1.8454 	2.5719 	3.7618 	4.2802 	-999	-999	-999	-999	-999	2.3489 	4.1165 	5.7614 	-999	-999	-999	-999	-999	-999	2	0	0
54	a99	b	circle	4	0.4914062500000256	1	117	3 	 5.493282284016264 	 3 	 2.0	3.0	3.0	0	1	-1	-1	-0.0	-999	-999	2.7646 	4.5387 	5.4935 	6.8827 	-999	-999	-999	-999	-999	2.7345 	4.3704 	5.6094 	7.3188 	-999	-999	-999	-999	-999	2.8856 	4.8151 	5.3729 	7.1818 	-999	-999	-999	-999	-999	2	0	0
